INFO:root:Train set: Epoch: [37/300]	Losses: tot:1.61174011	hm:0.53359412	wh:0.72210525	reg:0.14479813	dep:0.00811778	tracking:0.85301956	
INFO:root:Train set: Epoch: [38/300]	Losses: tot:1.57749255	hm:0.5349768	wh:0.72892699	reg:0.14507485	dep:0.0082467	tracking:0.81630149	
INFO:root:Train set: Epoch: [39/300]	Losses: tot:1.67842176	hm:0.54855868	wh:0.75065626	reg:0.14599976	dep:0.00824932	tracking:0.90054837	
INFO:root:Train set: Epoch: [40/300]	Losses: tot:1.6088288	hm:0.53352068	wh:0.72475707	reg:0.14391428	dep:0.00806458	tracking:0.85085355	
INFO:root:Val set: Epoch: [40/300]	Losses: tot:1.18616241	hm:0.4786012	wh:0.61041469	reg:0.12370922	dep:0.00593924	tracking:0.51687127	
INFO:root:Train set: Epoch: [41/300]	Losses: tot:1.6426022	hm:0.5408334	wh:0.74096234	reg:0.14542377	dep:0.00810721	tracking:0.87414158	
INFO:root:Train set: Epoch: [42/300]	Losses: tot:1.61170875	hm:0.5268272	wh:0.71724601	reg:0.14284059	dep:0.00812619	tracking:0.86219018	
INFO:root:Train set: Epoch: [43/300]	Losses: tot:1.55217933	hm:0.52132934	wh:0.70583782	reg:0.14400074	dep:0.00802437	tracking:0.80824109	
INFO:root:Train set: Epoch: [44/300]	Losses: tot:1.65195328	hm:0.52944183	wh:0.72445562	reg:0.14264226	dep:0.00769115	tracking:0.89973248	
INFO:root:Train set: Epoch: [45/300]	Losses: tot:1.59211408	hm:0.52752231	wh:0.71883573	reg:0.14412267	dep:0.00779477	tracking:0.84079076	
INFO:root:Train set: Epoch: [46/300]	Losses: tot:1.58768971	hm:0.53245263	wh:0.72324382	reg:0.14329554	dep:0.00794565	tracking:0.8316715	
INFO:root:Train set: Epoch: [47/300]	Losses: tot:1.56395516	hm:0.51386062	wh:0.68635421	reg:0.14082978	dep:0.00781764	tracking:0.83281171	
INFO:root:Train set: Epoch: [48/300]	Losses: tot:1.52588646	hm:0.50381516	wh:0.68037423	reg:0.13972012	dep:0.00762647	tracking:0.80668728	
INFO:root:Train set: Epoch: [49/300]	Losses: tot:1.4878532	hm:0.50260222	wh:0.68143375	reg:0.14009498	dep:0.00772071	tracking:0.76929191	
INFO:root:Train set: Epoch: [50/300]	Losses: tot:1.47598242	hm:0.50471963	wh:0.67229749	reg:0.13941713	dep:0.00778867	tracking:0.75682723	
INFO:root:Val set: Epoch: [50/300]	Losses: tot:1.0732665	hm:0.41074853	wh:0.59422537	reg:0.11842812	dep:0.00616361	tracking:0.47850371	
INFO:root:Train set: Epoch: [51/300]	Losses: tot:1.5088441	hm:0.5099246	wh:0.67212485	reg:0.14073404	dep:0.00756268	tracking:0.78341028	
INFO:root:Train set: Epoch: [52/300]	Losses: tot:1.48058577	hm:0.50113662	wh:0.66689817	reg:0.13968864	dep:0.0077914	tracking:0.7652793	
INFO:root:Train set: Epoch: [53/300]	Losses: tot:1.51541229	hm:0.5010023	wh:0.68417878	reg:0.14071996	dep:0.00765444	tracking:0.79761772	
INFO:root:Train set: Epoch: [54/300]	Losses: tot:1.44698727	hm:0.49822431	wh:0.67931538	reg:0.13899337	dep:0.00753803	tracking:0.73430003	
INFO:root:Train set: Epoch: [55/300]	Losses: tot:1.48983194	hm:0.49420249	wh:0.64956816	reg:0.13813329	dep:0.00747025	tracking:0.7850691	
INFO:root:Train set: Epoch: [56/300]	Losses: tot:1.4355654	hm:0.488654	wh:0.66872979	reg:0.13872915	dep:0.00744099	tracking:0.73386829	
INFO:root:Train set: Epoch: [57/300]	Losses: tot:1.4791832	hm:0.50298329	wh:0.6726827	reg:0.13893477	dep:0.00768827	tracking:0.76230861	
INFO:root:Train set: Epoch: [58/300]	Losses: tot:1.5201841	hm:0.48797268	wh:0.63516422	reg:0.1379231	dep:0.00768705	tracking:0.82308485	
INFO:root:Train set: Epoch: [59/300]	Losses: tot:1.44454034	hm:0.49531566	wh:0.65218425	reg:0.13823669	dep:0.00756341	tracking:0.73820616	
INFO:root:Train set: Epoch: [60/300]	Losses: tot:1.44181988	hm:0.48261336	wh:0.63685442	reg:0.1384727	dep:0.00768073	tracking:0.74936764	
INFO:root:Val set: Epoch: [60/300]	Losses: tot:1.15768145	hm:0.41460152	wh:0.54420672	reg:0.11677904	dep:0.00494009	tracking:0.56694013	
INFO:root:Train set: Epoch: [61/300]	Losses: tot:1.39726297	hm:0.47990051	wh:0.63369902	reg:0.13675503	dep:0.00730751	tracking:0.70993001	
INFO:root:Train set: Epoch: [62/300]	Losses: tot:1.41197953	hm:0.48479131	wh:0.65000601	reg:0.13673591	dep:0.00737285	tracking:0.71807886	
INFO:root:Train set: Epoch: [63/300]	Losses: tot:1.38606863	hm:0.47418062	wh:0.6145674	reg:0.13564946	dep:0.00739474	tracking:0.70738708	
INFO:root:Train set: Epoch: [64/300]	Losses: tot:1.40786498	hm:0.47258801	wh:0.62597266	reg:0.13567363	dep:0.00743759	tracking:0.72956848	
INFO:root:Train set: Epoch: [65/300]	Losses: tot:1.41983175	hm:0.47987657	wh:0.64603775	reg:0.13599951	dep:0.00747187	tracking:0.73188003	
INFO:root:Train set: Epoch: [66/300]	Losses: tot:1.40831693	hm:0.48003037	wh:0.62727845	reg:0.13632267	dep:0.00726442	tracking:0.72197162	
INFO:root:Train set: Epoch: [67/300]	Losses: tot:1.38119223	hm:0.47815892	wh:0.63662299	reg:0.13465723	dep:0.00725466	tracking:0.69745913	
INFO:root:Train set: Epoch: [68/300]	Losses: tot:1.41017064	hm:0.48015809	wh:0.62058988	reg:0.13539858	dep:0.00715826	tracking:0.72539673	
INFO:root:Train set: Epoch: [69/300]	Losses: tot:1.42170734	hm:0.47419512	wh:0.63498473	reg:0.13677737	dep:0.00741131	tracking:0.73982508	
